time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 23:54:1.754	WTyyyy(CC4B99849B02)	0.104	-0.004	-1.053	6.897	-0.061	-34.302	-174.57	0.23	-117.38	-5.808	7.517	22.450	0.02380	-0.64792	0.76010	-0.04254	22.9	10080.1.3	100
2025-3-13 23:54:1.845	WTyyyy(CC4B99849B02)	0.125	-0.013	-1.087	-9.033	0.854	-132.813	-175.52	-1.54	-110.22	-5.808	7.517	22.450	0.00452	-0.67841	0.73364	-0.03799	22.9	10080.1.3	100
2025-3-13 23:54:1.964	WTyyyy(CC4B99849B02)	0.124	-0.017	-1.097	3.479	-1.648	-219.849	-176.53	-2.71	-92.40	-5.808	7.517	22.450	0.00452	-0.67841	0.73364	-0.03799	22.9	10080.1.3	100
2025-3-13 23:54:2.54	WTyyyy(CC4B99849B02)	0.122	-0.026	-1.099	-2.747	1.953	-278.259	-178.42	-4.32	-66.62	-14.508	-12.975	22.583	0.00452	-0.67841	0.73364	-0.03799	22.9	10080.1.3	100
2025-3-13 23:54:2.203	WTyyyy(CC4B99849B02)	0.109	-0.060	-1.075	5.676	-1.160	-303.650	178.49	-4.65	-36.50	-14.508	-12.975	22.583	0.00452	-0.67841	0.73364	-0.03799	22.9	10080.1.3	100
2025-3-13 23:54:2.243	WTyyyy(CC4B99849B02)	0.104	-0.031	-1.058	-3.845	10.925	-277.771	177.15	-4.26	-7.06	-14.508	-12.975	22.583	-0.03506	-0.99225	-0.11389	-0.03375	22.9	10080.1.3	100
2025-3-13 23:54:2.384	WTyyyy(CC4B99849B02)	0.097	-0.053	-1.010	8.301	-2.380	-215.393	175.45	-3.00	17.58	-14.508	-12.975	22.583	-0.03506	-0.99225	-0.11389	-0.03375	22.9	10080.1.3	100
2025-3-13 23:54:2.445	WTyyyy(CC4B99849B02)	0.069	-0.048	-0.977	-1.465	7.446	-118.225	175.55	-2.25	33.79	7.825	-29.975	21.925	-0.03506	-0.99225	-0.11389	-0.03375	22.9	10080.1.3	100
2025-3-13 23:54:2.562	WTyyyy(CC4B99849B02)	0.097	-0.036	-0.947	0.000	-2.625	-3.174	175.80	-2.71	38.98	7.825	-29.975	21.925	-0.03506	-0.99225	-0.11389	-0.03375	22.9	10080.1.3	100
2025-3-13 23:54:2.654	WTyyyy(CC4B99849B02)	0.097	-0.051	-0.910	6.775	-8.118	118.225	176.54	-2.46	32.04	7.825	-29.975	21.925	-0.01007	-0.99072	-0.13162	-0.03046	22.9	10080.1.3	100
2025-3-13 23:54:2.774	WTyyyy(CC4B99849B02)	0.109	-0.035	-0.896	-4.028	0.000	227.661	178.45	-3.35	14.02	7.825	-29.975	21.925	-0.01007	-0.99072	-0.13162	-0.03046	22.9	10080.1.3	100
2025-3-13 23:54:2.864	WTyyyy(CC4B99849B02)	0.134	-0.050	-0.892	0.122	-10.803	310.852	179.95	-3.53	-13.13	-10.392	-22.442	22.050	-0.01007	-0.99072	-0.13162	-0.03046	22.9	10080.1.3	100
2025-3-13 23:54:2.983	WTyyyy(CC4B99849B02)	0.144	-0.060	-0.896	-0.671	-4.639	354.309	-178.46	-2.35	-45.88	-10.392	-22.442	22.050	-0.01007	-0.99072	-0.13162	-0.03046	22.9	10080.1.3	100
2025-3-13 23:54:3.42	WTyyyy(CC4B99849B02)	0.116	-0.034	-0.923	11.719	-4.517	353.516	-176.32	-0.71	-79.96	-10.392	-22.442	22.050	0.02386	-0.60535	0.79507	-0.02667	22.9	10080.1.3	100
2025-3-13 23:54:3.164	WTyyyy(CC4B99849B02)	0.123	-0.026	-0.961	1.709	3.662	302.856	-175.92	0.55	-111.36	-10.392	-22.442	22.050	0.02386	-0.60535	0.79507	-0.02667	22.9	10080.1.3	100
2025-3-13 23:54:3.255	WTyyyy(CC4B99849B02)	0.116	-0.023	-0.990	6.165	-9.277	212.280	-176.50	2.26	-138.11	3.050	10.458	22.200	0.02386	-0.60535	0.79507	-0.02667	22.9	10080.1.3	100
2025-3-13 23:54:3.374	WTyyyy(CC4B99849B02)	0.101	0.007	-1.033	5.249	-3.662	87.036	-176.64	3.24	-155.40	3.050	10.458	22.200	0.02386	-0.60535	0.79507	-0.02667	22.9	10080.1.3	100
2025-3-13 23:54:3.464	WTyyyy(CC4B99849B02)	0.125	0.009	-1.069	2.197	8.484	-49.438	-176.95	2.36	-159.37	3.050	10.458	22.200	0.02151	-0.22821	0.97311	-0.01944	22.9	10080.1.3	100
2025-3-13 23:54:3.584	WTyyyy(CC4B99849B02)	0.134	-0.016	-1.083	-1.038	-4.700	-190.430	-177.26	1.68	-149.07	3.050	10.458	22.200	0.02151	-0.22821	0.97311	-0.01944	22.9	10080.1.3	100
2025-3-13 23:54:3.645	WTyyyy(CC4B99849B02)	0.144	-0.014	-1.103	-8.545	11.414	-304.138	-177.37	-0.47	-125.86	-11.408	0.242	22.567	0.02151	-0.22821	0.97311	-0.01944	22.9	10080.1.3	100
2025-3-13 23:54:3.794	WTyyyy(CC4B99849B02)	0.142	-0.050	-1.090	-4.150	6.226	-396.851	-179.26	-2.27	-90.27	-11.408	0.242	22.567	0.02151	-0.22821	0.97311	-0.01944	22.9	10080.1.3	100
2025-3-13 23:54:3.852	WTyyyy(CC4B99849B02)	0.125	-0.041	-1.077	-1.526	7.996	-414.795	179.13	-3.01	-48.31	-11.408	0.242	22.567	-0.02911	-0.99252	0.11652	-0.01993	22.9	10080.1.3	100
2025-3-13 23:54:3.974	WTyyyy(CC4B99849B02)	0.106	-0.073	-1.037	-0.671	1.160	-381.409	176.68	-2.41	-7.49	-11.408	0.242	22.567	-0.02911	-0.99252	0.11652	-0.01993	22.9	10080.1.3	100
2025-3-13 23:54:4.64	WTyyyy(CC4B99849B02)	0.080	-0.039	-1.013	-3.723	16.235	-291.565	176.57	-1.42	26.51	13.083	-28.525	21.875	-0.02911	-0.99252	0.11652	-0.01993	22.9	10080.1.3	100
2025-3-13 23:54:4.184	WTyyyy(CC4B99849B02)	0.086	-0.060	-0.967	6.592	5.127	-164.612	175.92	-1.27	48.77	13.083	-28.525	21.875	-0.02911	-0.99252	0.11652	-0.01993	22.9	10080.1.3	100
2025-3-13 23:54:4.274	WTyyyy(CC4B99849B02)	0.079	-0.041	-0.935	1.648	2.380	-9.033	176.82	-1.04	56.29	13.083	-28.525	21.875	-0.01419	-0.89954	-0.43576	-0.02512	22.9	10080.1.3	100
