time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-03-13 23:54:00.195	WTyyyy(CC4B99849B02)	-0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.215	WTyyyy(CC4B99849B02)	0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.235	WTyyyy(CC4B99849B02)	0.224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.255	WTyyyy(CC4B99849B02)	0.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.275	WTyyyy(CC4B99849B02)	0.579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.295	WTyyyy(CC4B99849B02)	0.693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.315	WTyyyy(CC4B99849B02)	0.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.335	WTyyyy(CC4B99849B02)	0.797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.355	WTyyyy(CC4B99849B02)	0.955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.375	WTyyyy(CC4B99849B02)	1.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.395	WTyyyy(CC4B99849B02)	1.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.415	WTyyyy(CC4B99849B02)	0.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.435	WTyyyy(CC4B99849B02)	0.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.455	WTyyyy(CC4B99849B02)	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.475	WTyyyy(CC4B99849B02)	0.857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.495	WTyyyy(CC4B99849B02)	0.744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.515	WTyyyy(CC4B99849B02)	0.795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.535	WTyyyy(CC4B99849B02)	0.596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.555	WTyyyy(CC4B99849B02)	0.562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.575	WTyyyy(CC4B99849B02)	0.324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.595	WTyyyy(CC4B99849B02)	0.288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.615	WTyyyy(CC4B99849B02)	0.326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.635	WTyyyy(CC4B99849B02)	0.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.655	WTyyyy(CC4B99849B02)	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.675	WTyyyy(CC4B99849B02)	-0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.695	WTyyyy(CC4B99849B02)	-0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.715	WTyyyy(CC4B99849B02)	-0.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.735	WTyyyy(CC4B99849B02)	-0.331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.755	WTyyyy(CC4B99849B02)	-0.398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.775	WTyyyy(CC4B99849B02)	-0.391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.795	WTyyyy(CC4B99849B02)	-0.435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.815	WTyyyy(CC4B99849B02)	-0.451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.835	WTyyyy(CC4B99849B02)	-0.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.855	WTyyyy(CC4B99849B02)	-0.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.875	WTyyyy(CC4B99849B02)	-0.414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.895	WTyyyy(CC4B99849B02)	-0.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.915	WTyyyy(CC4B99849B02)	-0.365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.935	WTyyyy(CC4B99849B02)	-0.291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.955	WTyyyy(CC4B99849B02)	-0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.975	WTyyyy(CC4B99849B02)	-0.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:00.995	WTyyyy(CC4B99849B02)	-0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.015	WTyyyy(CC4B99849B02)	-0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.035	WTyyyy(CC4B99849B02)	-0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.055	WTyyyy(CC4B99849B02)	-0.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.075	WTyyyy(CC4B99849B02)	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.095	WTyyyy(CC4B99849B02)	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.115	WTyyyy(CC4B99849B02)	-0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.135	WTyyyy(CC4B99849B02)	-0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.155	WTyyyy(CC4B99849B02)	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.175	WTyyyy(CC4B99849B02)	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.195	WTyyyy(CC4B99849B02)	0.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.215	WTyyyy(CC4B99849B02)	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.235	WTyyyy(CC4B99849B02)	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.255	WTyyyy(CC4B99849B02)	-0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.275	WTyyyy(CC4B99849B02)	-0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.295	WTyyyy(CC4B99849B02)	-0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.315	WTyyyy(CC4B99849B02)	-0.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.335	WTyyyy(CC4B99849B02)	-0.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.355	WTyyyy(CC4B99849B02)	-0.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.375	WTyyyy(CC4B99849B02)	-0.207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.395	WTyyyy(CC4B99849B02)	-0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.415	WTyyyy(CC4B99849B02)	-0.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.435	WTyyyy(CC4B99849B02)	-0.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.455	WTyyyy(CC4B99849B02)	-0.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.475	WTyyyy(CC4B99849B02)	-0.231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-13 23:54:01.495	WTyyyy(CC4B99849B02)	-0.169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
